nflId,displayName,position,Team,final_rating
34452.0,Matthew Stafford,QB,LA,1
52460.0,Cam Akers,RB,LA,1
41290.0,Allen Robinson,WR,LA,1
44881.0,Cooper Kupp,WR,LA,1
53678.0,Ben Skowronek,WR,LA,1
43399.0,Tyler Higbee,TE,LA,1
42400.0,Rob Havenstein,T,LA,1
46158.0,Joseph Noteboom,T,LA,1
53868.0,Alaric Jackson,T,LA,1
46338.0,Jeremiah Kolone,G,LA,1
47880.0,Bobby Evans,G,LA,1
43298.0,Leonard Floyd,DE,LA,1
41239.0,Aaron Donald,DT,LA,1
43335.0,A'Shawn Robinson,DT,LA,9
47917.0,Greg Gaines,NT,LA,1
38577.0,Bobby Wagner,LB,LA,9
47939.0,Justin Hollins,LB,LA,9
53532.0,Ernest Jones,LB,LA,1
42816.0,Troy Hill,CB,LA,1
43294.0,Jalen Ramsey,CB,LA,7
46686.0,Grant Haley,CB,LA,9
54677.0,Derion Kendrick,CB,LA,7
47844.0,Taylor Rapp,SS,LA,1
48026.0,Nick Scott,SS,LA,1
42345.0,Marcus Mariota,QB,ATL,1
53612.0,Avery Williams,RB,ATL,1
54616.0,Tyler Allgeier,RB,ATL,1
42899.0,Damiere Byrd,WR,ATL,1
52489.0,Bryan Edwards,WR,ATL,1
54038.0,Feleipe Franks,TE,ATL,1
41232.0,Jake Matthews,T,ATL,1
47814.0,Kaleb McGary,T,ATL,1
45550.0,Elijah Wilkinson,G,ATL,1
47797.0,Chris Lindstrom,G,ATL,1
53543.0,Drew Dalman,C,ATL,1
53577.0,Ta'Quon Graham,DE,ATL,1
42480.0,Grady Jarrett,DT,ATL,1
46091.0,Rashaan Evans,LB,ATL,1
46135.0,Lorenzo Carter,LB,ATL,1
52527.0,Mykal Walker,LB,ATL,1
53611.0,Adetokunbo Ogundeji,LB,ATL,1
46127.0,Isaiah Oliver,CB,ATL,1
46278.0,Cornell Armstrong,CB,ATL,9
53537.0,Darren Hall,CB,ATL,1
53469.0,Richie Grant,SS,ATL,1
52542.0,Jaylinn Hawkins,FS,ATL,1
46070.0,Baker Mayfield,QB,CAR,1
44820.0,Christian McCaffrey,RB,CAR,9
