nflId,displayName,position,Team,final_rating
42345.0,Marcus Mariota,QB,ATL,1
54042.0,Caleb Huntley,RB,ATL,9
54616.0,Tyler Allgeier,RB,ATL,1
41808.0,Keith Smith,FB,ATL,1
42899.0,Damiere Byrd,WR,ATL,3
48374.0,Olamide Zaccheaus,WR,ATL,9
54473.0,Drake London,WR,ATL,1
48723.0,Parker Hesse,TE,ATL,1
53433.0,Kyle Pitts,TE,ATL,3
54038.0,Feleipe Franks,TE,ATL,9
41232.0,Jake Matthews,T,ATL,1
47814.0,Kaleb McGary,T,ATL,1
45550.0,Elijah Wilkinson,G,ATL,1
47797.0,Chris Lindstrom,G,ATL,1
53543.0,Drew Dalman,C,ATL,1
53577.0,Ta'Quon Graham,DE,ATL,1
42480.0,Grady Jarrett,DT,ATL,1
46771.0,Abdullah Anderson,DT,ATL,1
46091.0,Rashaan Evans,LB,ATL,1
46135.0,Lorenzo Carter,LB,ATL,1
52527.0,Mykal Walker,LB,ATL,1
53611.0,Adetokunbo Ogundeji,LB,ATL,1
46278.0,Cornell Armstrong,CB,ATL,1
53537.0,Darren Hall,CB,ATL,1
42901.0,Dean Marlowe,SS,ATL,1
53469.0,Richie Grant,SS,ATL,1
44901.0,D'Onta Foreman,RB,CAR,1
46093.0,D.J. Moore,WR,CAR,1
53488.0,Terrace Marshall,WR,CAR,1
46170.0,Ian Thomas,TE,CAR,1
53512.0,Tommy Tremble,TE,CAR,1
44876.0,Taylor Moton,T,CAR,1
53499.0,Brady Christensen,T,CAR,1
54471.0,Ikem Ekwonu,T,CAR,1
46102.0,Austin Corbett,G,CAR,1
46284.0,Bradley Bozeman,C,CAR,1
43441.0,Matt Ioannidis,DT,CAR,9
52415.0,Derrick Brown,DT,CAR,9
52592.0,Bravvion Roy,DT,CAR,1
54948.0,Marquan McCall,NT,CAR,1
42368.0,Shaq Thompson,LB,CAR,9
42470.0,Damien Wilson,LB,CAR,1
46527.0,Frankie Luvu,LB,CAR,5
47799.0,Brian Burns,LB,CAR,1
52446.0,Yetur Gross-Matos,LB,CAR,1
52417.0,C.J. Henderson,CB,CAR,1
53437.0,Jaycee Horn,CB,CAR,1
53595.0,Keith Taylor,CB,CAR,9
45004.0,Xavier Woods,FS,CAR,1
52852.0,Myles Hartsfield,FS,CAR,1
52409.0,Joe Burrow,QB,CIN,1
44860.0,Joe Mixon,RB,CIN,9
44927.0,Samaje Perine,RB,CIN,1
43344.0,Tyler Boyd,WR,CIN,3
43495.0,Mike Thomas,WR,CIN,1
44990.0,Trent Taylor,WR,CIN,5
48530.0,Stanley Morgan,WR,CIN,9
53434.0,Ja'Marr Chase,WR,CIN,3
46094.0,Hayden Hurst,TE,CIN,9
47835.0,Drew Sample,TE,CIN,1
42654.0,La'el Collins,T,CIN,1
47794.0,Jonah Williams,T,CIN,1
46163.0,Alex Cappa,G,CIN,1
54601.0,Cordell Volson,G,CIN,1
43510.0,Ted Karras,C,CIN,1
44915.0,Trey Hendrickson,DE,CIN,9
46146.0,Sam Hubbard,DE,CIN,9
53498.0,Joseph Ossai,DE,CIN,1
46138.0,B.J. Hill,DT,CIN,1
43455.0,D.J. Reader,NT,CIN,1
47855.0,Germaine Pratt,LB,CIN,9
52473.0,Logan Wilson,LB,CIN,1
52515.0,Akeem Davis-Gaither,LB,CIN,1
43299.0,Eli Apple,CB,CIN,1
43641.0,Mike Hilton,CB,CIN,1
44872.0,Chidobe Awuzie,CB,CIN,1
46215.0,Tre Flowers,CB,CIN,9
43350.0,Vonn Bell,SS,CIN,1
46123.0,Jessie Bates,FS,CIN,1
53496.0,Davis Mills,QB,HOU,1
40138.0,Rex Burkhead,RB,HOU,1
41246.0,Brandin Cooks,WR,HOU,1
42372.0,Phillip Dorsett,WR,HOU,1
43396.0,Chris Moore,WR,HOU,9
53518.0,Nico Collins,WR,HOU,2
45339.0,Pharaoh Brown,TE,HOU,1
53576.0,Brevin Jordan,TE,HOU,9
43302.0,Laremy Tunsil,T,HOU,1
47806.0,Tytus Howard,T,HOU,1
42410.0,A.J. Cann,G,HOU,1
41293.0,Justin Britt,C,HOU,9
41630.0,Justin McCray,C,HOU,1
35470.0,Jerry Hughes,DE,HOU,8
46229.0,Ogbonnia Okoronkwo,DE,HOU,1
46796.0,Demone Harris,DE,HOU,1
52498.0,Jonathan Greenard,DE,HOU,9
43356.0,Maliek Collins,DT,HOU,1
53624.0,Roy Lopez,DT,HOU,9
53712.0,Michael Dwumfour,DT,HOU,9
55045.0,Kurt Hinish,DT,HOU,1
41300.0,Christian Kirksey,LB,HOU,2
41361.0,Kevin Pierre-Louis,LB,HOU,1
43497.0,Kamu Grugier-Hill,LB,HOU,9
42441.0,Steven Nelson,CB,HOU,9
44964.0,Desmond King,CB,HOU,1
54468.0,Derek Stingley,CB,HOU,1
46669.0,Jonathan Owens,SS,HOU,1
54502.0,Jalen Pitre,FS,HOU,1
47784.0,Kyler Murray,QB,ARI,1
46526.0,Darrel Williams,RB,ARI,9
52630.0,Eno Benjamin,RB,ARI,1
37077.0,A.J. Green,WR,ARI,1
47808.0,Marquise Brown,WR,ARI,9
48646.0,Greg Dortch,WR,ARI,1
39983.0,Zach Ertz,TE,ARI,9
43845.0,Stephen Anderson,TE,ARI,1
38779.0,Kelvin Beachum,T,ARI,1
42367.0,D.J. Humphries,T,ARI,1
39965.0,Justin Pugh,G,ARI,1
46103.0,Will Hernandez,G,ARI,1
37130.0,Rodney Hudson,C,ARI,1
37084.0,J.J. Watt,DE,ARI,9
47848.0,Zach Allen,DE,ARI,9
48032.0,Michael Dogbe,DE,ARI,1
52522.0,Leki Fotu,NT,ARI,1
52539.0,Rashard Lawrence,NT,ARI,9
42401.0,Markus Golden,LB,ARI,1
43376.0,Nick Vigil,LB,ARI,9
45008.0,Tanner Vallejo,LB,ARI,1
46657.0,Dennis Gardeck,LB,ARI,1
53445.0,Zaven Collins,LB,ARI,4
53639.0,Victor Dimukeje,LB,ARI,9
47816.0,Byron Murphy,CB,ARI,1
52945.0,Jace Whittaker,CB,ARI,9
53565.0,Marco Wilson,CB,ARI,1
44848.0,Budda Baker,SS,ARI,1
49410.0,Jalen Thompson,FS,ARI,1
52414.0,Justin Herbert,QB,LAC,1
45573.0,Austin Ekeler,RB,LAC,1
42794.0,DeAndre Carter,WR,LAC,9
44819.0,Mike Williams,WR,LAC,1
53244.0,Michael Bandy,WR,LAC,1
53506.0,Josh Palmer,WR,LAC,1
44856.0,Gerald Everett,TE,LAC,9
53526.0,Tre' McKitty,TE,LAC,1
47874.0,Trey Pipkins,T,LAC,1
41959.0,Matt Feiler,G,LAC,1
54482.0,Zion Johnson,G,LAC,1
54660.0,Jamaree Salyer,G,LAC,1
46314.0,Will Clapp,C,LAC,1
41231.0,Khalil Mack,DE,LAC,1
43332.0,Austin Johnson,DT,LAC,4
46264.0,Sebastian Joseph,DT,LAC,4
47811.0,Jerry Tillery,DT,LAC,1
54625.0,Otito Ogbonnia,DT,LAC,9
41269.0,Kyle Van Noy,LB,LAC,1
47913.0,Drue Tranquill,LB,LAC,1
42935.0,Bryce Callahan,CB,LAC,1
45571.0,Michael Davis,CB,LAC,1
53476.0,Asante Samuel,CB,LAC,1
46086.0,Derwin James,SS,LAC,1
47843.0,Nasir Adderley,FS,LAC,1
54551.0,Malik Willis,QB,TEN,1
43334.0,Derrick Henry,RB,TEN,1
53074.0,Nick Westbrook-Ikhine,WR,TEN,1
42589.0,Geoff Swaim,TE,TEN,1
43370.0,Austin Hooper,TE,TEN,1
54608.0,Chigoziem Okonkwo,TE,TEN,1
47995.0,Dennis Daley,T,TEN,1
54534.0,Nicholas Petit-Frere,T,TEN,1
47865.0,Nate Davis,G,TEN,1
53063.0,Aaron Brewer,G,TEN,1
38629.0,Ben Jones,C,TEN,1
42031.0,Denico Autry,DE,TEN,1
42378.0,Mario Edwards,DE,TEN,2
44863.0,DeMarcus Walker,DE,TEN,9
47802.0,Jeffery Simmons,DT,TEN,1
53073.0,Teair Tart,DT,TEN,1
53900.0,Naquan Jones,DT,TEN,9
45643.0,Dylan Cole,LB,TEN,1
47971.0,David Long,LB,TEN,9
53564.0,Rashad Weaver,LB,TEN,1
52469.0,Kristian Fulton,CB,TEN,1
54500.0,Roger McCreary,CB,TEN,1
43757.0,Andrew Adams,SS,TEN,1
43353.0,Kevin Byard,FS,TEN,1
46846.0,Joshua Kalu,FS,TEN,1
44822.0,Patrick Mahomes,QB,KC,1
41325.0,Jerick McKinnon,RB,KC,1
44874.0,JuJu Smith-Schuster,WR,KC,9
46213.0,Justin Watson,WR,KC,1
46243.0,Marquez Valdes-Scantling,WR,KC,9
47839.0,Mecole Hardman,WR,KC,9
54519.0,Skyy Moore,WR,KC,7
40011.0,Travis Kelce,TE,KC,9
53591.0,Noah Gray,TE,KC,1
45695.0,Andrew Wylie,T,KC,1
46152.0,Orlando Brown,T,KC,1
43367.0,Joe Thuney,G,KC,1
53655.0,Trey Smith,G,KC,1
53492.0,Creed Humphrey,C,KC,1
52585.0,Michael Danna,DE,KC,1
43326.0,Chris Jones,DT,KC,1
47867.0,Khalen Saunders,DT,KC,1
35493.0,Carlos Dunlap,LB,KC,1
52471.0,Willie Gay,LB,KC,1
53487.0,Nick Bolton,LB,KC,1
54568.0,Leo Chenal,LB,KC,1
52546.0,L'Jarius Sneed,CB,KC,1
54486.0,Trent McDuffie,CB,KC,1
46137.0,Justin Reid,SS,KC,1
47846.0,Juan Thornhill,FS,KC,1
44814.0,Mitchell Trubisky,QB,PIT,1
54905.0,Jaylen Warren,RB,PIT,1
47849.0,Diontae Johnson,WR,PIT,1
47876.0,Miles Boykin,WR,PIT,9
48988.0,Gunner Olszewski,WR,PIT,9
52457.0,Chase Claypool,WR,PIT,3
54517.0,George Pickens,WR,PIT,1
47924.0,Zach Gentry,TE,PIT,9
53484.0,Pat Freiermuth,TE,PIT,1
46161.0,Chukwuma Okorafor,T,PIT,1
53557.0,Dan Moore,T,PIT,1
46108.0,James Daniels,G,PIT,1
52543.0,Kevin Dotson,G,PIT,1
46166.0,Mason Cole,C,PIT,1
